,Order Number,Date of Order,Time of Order,Lineitem name,Accepts Marketing,Cancelled/Not,Currency,Financial Status,Fulfillment Status,Lineitem fulfillment status,Lineitem price,Lineitem quantity,Lineitem requires shipping,Outstanding Balance,Payment Method,Refunded Amount,Risk Level,Shipping,Shipping Country,Shipping Method,Source,Subtotal,Total,Category
0,R-1001,2015-09-14,13:39:22,Kiwi Silk Top - Green / M,No,Cancelled,USD,Pending,Unfulfilled,Pending,100.0,1,0,100.0,Cash on delivery,0.0,Low,0.0,AE,Local shipping,Web,100.0,100.0,Top
1,R-1002,2016-01-19,13:43:51,Oversized Quilted Sweater Dress-Emerald - One Size,No,Cancelled,USD,Pending,Unfulfilled,Pending,60.0,1,1,65.0,Custom,0.0,Low,5.0,AE,UPS,Web,60.0,65.0,Dress
2,R-1003,2016-01-30,01:27:30,Quilted Cardigan - Emerald / One Size,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,90.0,1,1,0.0,Custom,0.0,0,0.0,AE,Local shipping,Web,0.0,0.0,Cardigan
3,R-1003,2016-01-30,01:27:30,Quilted Sweater Dress with Silk Detail - Black / M,No,Cancelled,USD,Pending,Unfulfilled,Pending,110.0,1,1,200.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,200.0,200.0,Dress
4,R-1004,2016-01-31,02:36:17,Jade Bicolor  Scarf,No,Cancelled,USD,Pending,Unfulfilled,Pending,60.0,1,1,60.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,60.0,60.0,Scarf
5,R-1005,2016-02-09,12:50:27,Joe Military Shirt Dress - Military / S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,70.0,1,1,0.0,Checkout,0.0,Low,0.0,LB,Free shipping,Web,70.0,70.0,Dress
6,R-1006,2016-02-29,10:24:33,Diana Sweat Pants - S / Pink,No,Not Cancelled,USD,Paid,Fulfilled,Pending,40.0,1,1,0.0,Checkout,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Pants
7,R-1006,2016-02-29,10:24:33,Oversized Diana Sweater Dress - L / White,No,Cancelled,USD,Pending,Unfulfilled,Pending,70.0,1,1,110.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,110.0,110.0,Dress
8,R-1007,2016-04-14,16:09:30,Wide Pants - Black / M,No,Cancelled,USD,Pending,Unfulfilled,Pending,50.0,1,1,50.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,50.0,50.0,Pants
9,R-S-1008,2016-05-06,01:02:03,Mia Sweater Dress - L / White,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,45.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Dress
