,Order Number,Date of Order,Time of Order,Lineitem name,Accepts Marketing,Cancelled/Not,Currency,Financial Status,Fulfillment Status,Lineitem fulfillment status,Lineitem price,Lineitem quantity,Lineitem requires shipping,Outstanding Balance,Payment Method,Refunded Amount,Risk Level,Shipping,Shipping Country,Shipping Method,Source,Subtotal,Total,Category,Month of Order,Year of Order
0,R-1001,2015-09-14,13:39:22,Kiwi Silk Top - Green / M,No,Cancelled,USD,Pending,Unfulfilled,Pending,100.0,1,0,100.0,Cash on delivery,0.0,Low,0.0,AE,Local shipping,Web,100.0,100.0,Top,9,2015
1,R-1002,2016-01-19,13:43:51,Oversized Quilted Sweater Dress-Emerald - One Size,No,Cancelled,USD,Pending,Unfulfilled,Pending,60.0,1,1,65.0,Custom,0.0,Low,5.0,AE,UPS,Web,60.0,65.0,Dress,1,2016
2,R-1003,2016-01-30,01:27:30,Quilted Cardigan - Emerald / One Size,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,90.0,1,1,0.0,Custom,0.0,0,0.0,AE,Local shipping,Web,0.0,0.0,Cardigan,1,2016
3,R-1003,2016-01-30,01:27:30,Quilted Sweater Dress with Silk Detail - Black / M,No,Cancelled,USD,Pending,Unfulfilled,Pending,110.0,1,1,200.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,200.0,200.0,Dress,1,2016
4,R-1004,2016-01-31,02:36:17,Jade Bicolor  Scarf,No,Cancelled,USD,Pending,Unfulfilled,Pending,60.0,1,1,60.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,60.0,60.0,Scarf,1,2016
5,R-1005,2016-02-09,12:50:27,Joe Military Shirt Dress - Military / S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,70.0,1,1,0.0,Checkout,0.0,Low,0.0,LB,Free shipping,Web,70.0,70.0,Dress,2,2016
6,R-1006,2016-02-29,10:24:33,Diana Sweat Pants - S / Pink,No,Not Cancelled,USD,Paid,Fulfilled,Pending,40.0,1,1,0.0,Checkout,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Pants,2,2016
7,R-1006,2016-02-29,10:24:33,Oversized Diana Sweater Dress - L / White,No,Cancelled,USD,Pending,Unfulfilled,Pending,70.0,1,1,110.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,110.0,110.0,Dress,2,2016
8,R-1007,2016-04-14,16:09:30,Wide Pants - Black / M,No,Cancelled,USD,Pending,Unfulfilled,Pending,50.0,1,1,50.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,50.0,50.0,Pants,4,2016
9,R-S-1008,2016-05-06,01:02:03,Mia Sweater Dress - L / White,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,45.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Dress,5,2016
10,R-S-1008,2016-05-06,01:02:03,Mia Track Suit - L / Navy,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,110.0,1,1,0.0,Checkout,0.0,Low,15.0,US,Aramex,Web,155.0,170.0,Suit,5,2016
11,R-S-1009,2016-06-02,14:21:28,Wide Pants - Military / M,No,Cancelled,USD,Pending,Unfulfilled,Pending,50.0,1,1,50.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,50.0,50.0,Pants,6,2016
12,R-S-1010,2016-08-15,22:49:24,Sally Skirt - Multi / S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,200.0,1,1,0.0,Checkout,0.0,Low,15.0,US,Aramex,Web,200.0,215.0,Skirt,8,2016
13,R-S-1011,2016-08-29,13:40:47,Citron Wide Pants - M,No,Cancelled,USD,Pending,Unfulfilled,Pending,50.0,1,1,50.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,50.0,50.0,Pants,8,2016
14,R-S-1012,2016-10-23,15:46:47,Mia White Sweater Dress - M / White,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,38.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Dress,10,2016
15,R-S-1012,2016-10-23,15:46:47,Oversized Quilted Sweater Dress-Emerald - One Size,No,Cancelled,USD,Pending,Unfulfilled,Pending,60.0,1,1,98.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,98.0,98.0,Dress,10,2016
16,R-S-1013,2016-12-29,11:22:53,Lightweight Military Bomber Jacket - S,No,Cancelled,USD,Pending,Unfulfilled,Pending,100.0,1,1,300.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,300.0,300.0,Jacket,12,2016
17,R-S-1013,2016-12-29,11:22:53,Pink Bomber Ensemble - S,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,200.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Ensemble,12,2016
18,R-S-1014,2017-01-05,22:15:07,Black Maxi Knitted Dress,No,Cancelled,USD,Pending,Unfulfilled,Pending,80.0,1,1,240.0,Custom,0.0,Low,0.0,LB,Free shipping,Web,240.0,240.0,Dress,1,2017
19,R-S-1014,2017-01-05,22:15:07,Burgundy Maxi Knitted Dress,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,80.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Dress,1,2017
20,R-S-1014,2017-01-05,22:15:07,Emerald Maxi Knitted Dress,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,80.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Dress,1,2017
21,R-S-1015,2017-01-25,12:03:42,Jade Bicolor  Scarf,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,60.0,1,0,0.0,Checkout,0.0,Low,15.0,FR,Aramex,Web,120.0,135.0,Scarf,1,2017
22,R-S-1015,2017-01-25,12:03:42,Oversized Quilted Sweater Dress-Emerald - One Size,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,60.0,1,1,0.0,Checkout,0.0,0,0.0,FR,Local shipping,Web,0.0,0.0,Dress,1,2017
23,R-S-1016,2017-01-25,19:56:27,Emerald Maxi Knitted Dress,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,80.0,1,1,0.0,Checkout,0.0,Low,10.0,GB,Aramex,Web,80.0,90.0,Dress,1,2017
