,Unnamed: 0,Order Number,Date of Order,Time of Order,Lineitem name,Accepts Marketing,Cancelled/Not,Currency,Financial Status,Fulfillment Status,Lineitem fulfillment status,Lineitem price,Lineitem quantity,Lineitem requires shipping,Outstanding Balance,Payment Method,Refunded Amount,Risk Level,Shipping,Shipping Country,Shipping Method,Source,Subtotal,Total,Category,Month of Order,Year of Order
0,0,R-S-1001,14/09/2015,13:39:22,Kiwi Silk Top - Green / M,No,Cancelled,USD,Pending,Unfulfilled,Pending,100,1,0,100,Cash on delivery,0,Low,0,AE,Local shipping,Web,100,100,Top,9,2015
1,1,R-S-1002,19/01/2016,13:43:51,Oversized Quilted Sweater Dress-Emerald - One Size,No,Cancelled,USD,Pending,Unfulfilled,Pending,60,1,1,65,Custom,0,Low,5,AE,UPS,Web,60,65,Dress,1,2016
2,2,R-S-1003,30/01/2016,1:27:30,Quilted Cardigan - Emerald / One Size,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,90,1,1,0,Custom,0,0,0,AE,Local shipping,Web,0,0,Cardigan,1,2016
3,3,R-S-1003,30/01/2016,1:27:30,Quilted Sweater Dress with Silk Detail - Black / M,No,Cancelled,USD,Pending,Unfulfilled,Pending,110,1,1,200,Custom,0,Low,0,LB,Free shipping,Web,200,200,Dress,1,2016
4,4,R-S-1004,31/01/2016,2:36:17,Jade Bicolor  Scarf,No,Cancelled,USD,Pending,Unfulfilled,Pending,60,1,1,60,Custom,0,Low,0,LB,Free shipping,Web,60,60,Scarf,1,2016
5,5,R-S-1005,09/02/2016,12:50:27,Joe Military Shirt Dress - Military / S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,70,1,1,0,Checkout,0,Low,0,LB,Free shipping,Web,70,70,Dress,2,2016
6,6,R-S-1006,29/02/2016,10:24:33,Diana Sweat Pants - S / Pink,No,Not Cancelled,USD,Paid,Fulfilled,Pending,40,1,1,0,Checkout,0,0,0,LB,Local shipping,Web,0,0,Pants,2,2016
7,7,R-S-1006,29/02/2016,10:24:33,Oversized Diana Sweater Dress - L / White,No,Cancelled,USD,Pending,Unfulfilled,Pending,70,1,1,110,Custom,0,Low,0,LB,Free shipping,Web,110,110,Dress,2,2016
8,8,R-S-1007,14/04/2016,16:09:30,Wide Pants - Black / M,No,Cancelled,USD,Pending,Unfulfilled,Pending,50,1,1,50,Custom,0,Low,0,LB,Free shipping,Web,50,50,Pants,4,2016
9,9,R-S-1008,06/05/2016,1:02:03,Mia Sweater Dress - L / White,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,45,1,1,0,Custom,0,0,0,LB,Local shipping,Web,0,0,Dress,5,2016
10,10,R-S-1008,06/05/2016,1:02:03,Mia Track Suit - L / Navy,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,110,1,1,0,Checkout,0,Low,15,US,Aramex,Web,155,170,Suit,5,2016
11,11,R-S-1009,02/06/2016,14:21:28,Wide Pants - Military / M,No,Cancelled,USD,Pending,Unfulfilled,Pending,50,1,1,50,Custom,0,Low,0,LB,Free shipping,Web,50,50,Pants,6,2016
12,12,R-S-1010,15/08/2016,22:49:24,Sally Skirt - Multi / S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,200,1,1,0,Checkout,0,Low,15,US,Aramex,Web,200,215,Skirt,8,2016
13,13,R-S-1011,29/08/2016,13:40:47,Citron Wide Pants - M,No,Cancelled,USD,Pending,Unfulfilled,Pending,50,1,1,50,Custom,0,Low,0,LB,Free shipping,Web,50,50,Pants,8,2016
14,14,R-S-1012,23/10/2016,15:46:47,Mia White Sweater Dress - M / White,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,38,1,1,0,Custom,0,0,0,LB,Local shipping,Web,0,0,Dress,10,2016
15,15,R-S-1012,23/10/2016,15:46:47,Oversized Quilted Sweater Dress-Emerald - One Size,No,Cancelled,USD,Pending,Unfulfilled,Pending,60,1,1,98,Custom,0,Low,0,LB,Free shipping,Web,98,98,Dress,10,2016
16,16,R-S-1013,29/12/2016,11:22:53,Lightweight Military Bomber Jacket - S,No,Cancelled,USD,Pending,Unfulfilled,Pending,100,1,1,300,Custom,0,Low,0,LB,Free shipping,Web,300,300,Jacket,12,2016
17,17,R-S-1013,29/12/2016,11:22:53,Pink Bomber Ensemble - S,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,200,1,1,0,Custom,0,0,0,LB,Local shipping,Web,0,0,Ensemble,12,2016
18,18,R-S-1014,05/01/2017,22:15:07,Black Maxi Knitted Dress,No,Cancelled,USD,Pending,Unfulfilled,Pending,80,1,1,240,Custom,0,Low,0,LB,Free shipping,Web,240,240,Dress,1,2017
19,19,R-S-1014,05/01/2017,22:15:07,Burgundy Maxi Knitted Dress,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,80,1,1,0,Custom,0,0,0,LB,Local shipping,Web,0,0,Dress,1,2017
20,20,R-S-1014,05/01/2017,22:15:07,Emerald Maxi Knitted Dress,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,80,1,1,0,Custom,0,0,0,LB,Local shipping,Web,0,0,Dress,1,2017
21,21,R-S-1015,25/01/2017,12:03:42,Jade Bicolor  Scarf,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,60,1,0,0,Checkout,0,Low,15,FR,Aramex,Web,120,135,Scarf,1,2017
