,Order Number,Date of Order,Time of Order,Lineitem name,Accepts Marketing,Cancelled/Not,Currency,Financial Status,Fulfillment Status,Lineitem fulfillment status,Lineitem price,Lineitem quantity,Lineitem requires shipping,Outstanding Balance,Payment Method,Refunded Amount,Risk Level,Shipping,Shipping Country,Shipping Method,Source,Subtotal,Total,Category
0,R-1001,14/09/2015,13:39:22,Kiwi Silk Top - Green / M,No,Cancelled,USD,Pending,Unfulfilled,Pending,100,1,0,100,Cash on delivery,0,Low,0,AE,0,Web,100,100,Top
1,R-1002,19/01/2016,13:43:51,Oversized Quilted Sweater Dress-Emerald - One Size,No,Cancelled,USD,Pending,Unfulfilled,Pending,60,1,1,65,Custom,0,Low,5,AE,UPS,Web,60,65,Dress
2,R-1003,30/01/2016,1:27:30,Quilted Cardigan - Emerald / One Size,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,90,1,1,0,Custom,0,0,0,AE,0,Web,0,0,Cardigan
3,R-1003,30/01/2016,1:27:30,Quilted Sweater Dress with Silk Detail - Black / M,No,Cancelled,USD,Pending,Unfulfilled,Pending,110,1,1,200,Custom,0,Low,0,LB,Free Shipping,Web,200,200,Dress
4,R-1004,31/01/2016,2:36:17,Jade Bicolor  Scarf,No,Cancelled,USD,Pending,Unfulfilled,Pending,60,1,1,60,Custom,0,Low,0,LB,Free Shipping,Web,60,60,Scarf
5,R-1005,09/02/2016,12:50:27,Joe Military Shirt Dress - Military / S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,70,1,1,0,Checkout,0,Low,0,LB,Free Shipping,Web,70,70,Dress
6,R-1006,29/02/2016,10:24:33,Diana Sweat Pants - S / Pink,No,Not Cancelled,USD,Paid,Fulfilled,Pending,40,1,1,0,Checkout,0,0,0,LB,0,Web,0,0,Pants
7,R-1006,29/02/2016,10:24:33,Oversized Diana Sweater Dress - L / White,No,Cancelled,USD,Pending,Unfulfilled,Pending,70,1,1,110,Custom,0,Low,0,LB,Free Shipping,Web,110,110,Dress
8,R-1007,14/04/2016,16:09:30,Wide Pants - Black / M,No,Cancelled,USD,Pending,Unfulfilled,Pending,50,1,1,50,Custom,0,Low,0,LB,Free Shipping,Web,50,50,Pants
9,R-S-1008,06/05/2016,1:02:03,Mia Sweater Dress - L / White,No,Not Cancelled,USD,Pending,Unfulfilled,Fulfilled,45,1,1,0,Custom,0,0,0,LB,0,Web,0,0,Dress
10,R-S-1008,06/05/2016,1:02:03,Mia Track Suit - L / Navy,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,110,1,1,0,Checkout,0,Low,15,US,Aramex,Web,155,170,Suit
